,Tm,frequentist_mew,frequentist_sigma,name,posterior_mew,posterior_sigma,prior_mew,prior_sigma
245,NOP,3.353947368421053,4.529100084583833,Gregory Stiemsma,2.7488340895364645,3.1374146767552684,3.4396946564885496,4.35025101301419
246,OKC,7.116049382716048,4.299223495496369,Thabo Patrick Sefolosha,5.961309265349455,3.1762375169247763,5.674463007159907,4.712993453125555
247,SAC,12.919999999999995,7.469707714049683,DeMarcus Amir Cousins,13.411637166977414,5.3326872761118524,11.632727272727271,7.615523728076263
248,CHA,10.259016393442618,5.501248056583081,Ramon Sessions,8.1461891411156,4.18272472776464,9.348437500000014,6.439465529731002
249,BKN,11.922058823529413,4.919464509005357,Kevin Maurice Garnett,8.51085705281845,3.788676228197612,13.566161616161612,5.939528295910427
250,CHI,7.601333333333332,5.890478041343979,Michael Joseph Dunleavy Jr.,7.253394124126337,4.531892595047658,9.383798882681573,7.094199777613505
251,DET,8.606666666666667,5.6145901205895905,Andre Jamal Drummond,10.930000000000001,3.9701147478518948,8.606666666666667,5.6145901205895905
252,DEN,3.3526315789473684,5.561178256548519,Evan Mehdi Fournier,2.9513157894736843,3.9323468565926394,3.3526315789473684,5.561178256548519
253,GSW,,,Nemanja Nedovic,,,,
254,MEM,12.692499999999997,5.904400371756644,Michael Alex Conley Jr.,13.056751202686973,4.271479316937149,10.381278538812781,6.18707713540843
255,LAC,6.930188679245283,6.856441260366267,Byron James Mullens,3.8861068263589087,4.5909351046113285,5.317361111111113,6.181079214707385
256,CHI,,,Derrick Martell Rose,,,15.643369175627237,7.315091003575492
257,GSW,,,Ognjen Kuzmic,,,,
258,ATL,,,Pero Antic,,,,
259,POR,,,Allen Crabbe,,,,
260,IND,9.751898734177214,6.151028745068309,Roy Denzil Hibbert,9.863900147754055,4.404055304009042,8.789095744680855,6.3085060131930195
261,DET,12.895000000000001,8.287142149136818,Brandon Jennings,11.92193213830109,5.629858929292049,12.057044673539522,7.6720345152257545
262,NOP,2.949180327868853,4.227490940972725,Austin James Rivers,2.7195901639344267,2.9892875117665128,2.949180327868853,4.227490940972725
263,TOR,3.7078947368421047,4.303938317582078,Darryl Gerard Augustin Jr.,2.3581278585318453,3.6292291150715967,7.203910614525134,6.751477083398323
264,OKC,,,Steven Funaki Adams,,,,
265,MIA,7.224675324675324,6.340104383674186,Almario Vernard Chalmers,7.185260636523598,4.33399056043469,6.7483606557377005,5.938011759111648
266,ORL,10.061764705882354,6.155916078713719,Ronald Glen Davis,7.328996832819009,4.069812108421615,5.783064516129032,5.424403070685017
267,ORL,1.8717948717948718,3.2666888056247734,Ronnie Price,2.109675012032288,2.5449597831912913,2.4162866449511404,4.05930730390562
268,TOR,3.6575342465753433,5.302775644556199,Terrence James Elijah Ross,3.885909980430528,3.749628617376554,3.6575342465753433,5.302775644556199
269,TOR,7.382258064516127,5.637333051488328,Jonas Valanciunas,6.930414746543777,3.9861964285144498,7.382258064516127,5.637333051488328
270,ATL,3.4436363636363643,4.017270155731655,Gustavo Alfonso Ayon,4.338110172871456,3.0640722250016506,4.860550458715597,4.73784332054393
271,NOP,1.676923076923077,2.6843765965362527,Louis Gabriel Amundson,1.7456866272778644,2.218922099087393,3.2465189873417732,3.942781487381009
272,BKN,0.8157894736842106,2.640427229763901,Tyshawn Jamar Taylor,1.9806220095693783,1.8670639993956646,0.8157894736842106,2.640427229763901
273,SAS,1.61875,2.780336928773202,Aaron John Baynes,0.9538194444444444,1.9659950963189101,1.61875,2.780336928773202
274,UTA,,,Ian Clark,,,,
275,CHI,6.571666666666666,5.85434572679893,Kirk James Hinrich,7.365951203636058,4.229785008274315,7.580789473684211,6.117999708185911
276,MIA,7.789873417721519,5.271240214759563,Walter Ray Allen,8.810846563768552,4.061875434948423,11.324942791762027,6.373051481024893
277,MIL,,,Miroslav Raduljica,,,,
278,DAL,13.332075471698113,6.012181771593519,Dirk Werner Nowitzki,16.020567318367885,4.635011767321202,17.11077283372365,7.2773220048297045
279,CLE,,,Carrick Felix,,,,
280,LAC,9.666666666666668,6.7925235419817325,Jonathan Clay Redick,8.592755654113418,4.457972030545621,6.7460732984293195,5.908550266893518
281,ATL,3.2709677419354835,4.212591995617433,Shelvin Bernard Mack,3.8619610319076574,2.7818012329726396,3.0663157894736845,3.7043533572020166
282,CHI,11.554430379746833,6.905598489509623,Carlos Austin Boozer Jr.,11.42283856265477,5.012719552888391,13.658750000000005,7.2879574256097275
283,CHA,4.08961038961039,3.7629286886328606,Jeffery Matthew Taylor,3.6416801948051947,2.6607923928536983,4.08961038961039,3.7629286886328606
284,MIA,17.099999999999994,6.920815064674123,Dwyane Tyrone Wade,17.292094241423076,5.41225327761617,19.693765586034917,8.683968434160672
285,CHI,2.3444444444444437,3.8779301375444457,Nazr Tahiru Mohammed,2.957069214075967,3.0756349723507586,4.358157894736839,5.04968073783052
286,HOU,5.297142857142859,4.8854586399281885,Gregory Smith,3.952188210027239,3.4529774025058027,4.9525641025641045,4.8810393060729735
287,CLE,1.35,1.35,Henry Sims,1.2666666666666668,0.9545941546018393,1.35,1.35
288,MIN,6.95,4.847060965162292,Dante Cunningham,4.8425756903555115,3.3335706699941636,4.9652631578947375,4.592032040837832
289,SAS,3.0875000000000004,3.8734831260478964,Nando De Colo,2.6187500000000004,2.738966185240134,3.0875000000000004,3.8734831260478964
290,DAL,,,DeShane Larkin,,,,
291,PHO,2.4600000000000004,3.3766255344648446,Viacheslav Kravtsov,1.3966666666666667,2.387634812947742,2.4600000000000004,3.3766255344648446
292,MIA,24.40526315789474,6.084144508838703,LeBron Raymone James,23.073155474724206,4.695580796640487,23.864810690423166,7.384176787901674
293,UTA,,,Michael Harris,,,2.202941176470588,3.041524897550922
294,POR,2.3979591836734695,3.22834953699687,Victor Claver,1.032312925170068,2.282787849650938,2.3979591836734695,3.22834953699687
295,GSW,5.764556962025318,5.6228970859478125,Marreese Speights,3.496783393078581,3.9415929632440783,5.458139534883721,5.526852317428933
296,LAL,4.325999999999999,5.070810980504006,Wesley JaMarr Johnson,6.180850662942621,3.6787812095152495,4.729896907216498,5.345190823331333
297,SAS,5.775342465753425,5.5557394936293925,Marco Stefano Belinelli,6.463330717711881,3.8867372310480603,5.463611111111108,5.439458026912529
298,DEN,10.776250000000001,6.240617832995383,Kenneth Bernard Faried,10.795465714427674,4.428663469407666,10.486507936507936,6.285778268473461
299,MEM,12.19868421052631,5.938068386557609,Zachary Randolph,12.772216254998364,4.579605776295782,14.094459102902368,7.194317305237021
300,LAL,,,Jordan Robert Farmar,,,6.017302052785924,5.298527410618995
301,ATL,5.207575757575755,4.723067525488218,DeMarre LaEdrick Carroll,5.215059490470354,3.19130570827285,3.2757225433526016,4.329010910195313
302,IND,3.4437500000000005,3.5960688171251682,Ian Mahinmi,2.6154204776434984,2.731367761921013,3.4755458515283837,4.199148934758317
303,POR,10.143478260869566,6.395366943067766,Wesley Matthews Jr.,11.43091432887445,4.61628069262364,9.223745819397994,6.6701103882102775
