Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Wed, Dec 23, 2009",POR,98,SAS,94
"Fri, Dec 25, 2009",CLE,102,LAL,87
"Fri, Dec 25, 2009",MIA,93,NYK,87
"Fri, Dec 25, 2009",BOS,86,ORL,77
"Fri, Dec 25, 2009",LAC,93,PHX,124
"Fri, Dec 25, 2009",DEN,96,POR,107
"Sat, Dec 26, 2009",NOH,85,CHI,96
"Sat, Dec 26, 2009",MEM,101,DAL,106
"Sat, Dec 26, 2009",PHX,127,GSW,132
"Sat, Dec 26, 2009",ATL,110,IND,98
"Sat, Dec 26, 2009",SAS,112,MIL,97
"Sat, Dec 26, 2009",WAS,89,MIN,101
"Sat, Dec 26, 2009",HOU,98,BKN,93
"Sat, Dec 26, 2009",CHA,91,OKC,98
"Sat, Dec 26, 2009",LAL,112,SAC,103
"Sat, Dec 26, 2009",PHI,76,UTA,97
"Sun, Dec 27, 2009",HOU,83,CLE,108
"Sun, Dec 27, 2009",DAL,104,DEN,96
"Sun, Dec 27, 2009",BOS,90,LAC,92
"Sun, Dec 27, 2009",IND,80,MIA,114
"Sun, Dec 27, 2009",SAS,95,NYK,88
"Sun, Dec 27, 2009",DET,95,TOR,102
"Mon, Dec 28, 2009",MIL,84,CHA,94
"Mon, Dec 28, 2009",BOS,99,GSW,103
"Mon, Dec 28, 2009",WAS,111,MEM,116
"Mon, Dec 28, 2009",OKC,105,BKN,89
"Mon, Dec 28, 2009",LAL,103,PHX,118
"Mon, Dec 28, 2009",PHI,104,POR,93
"Mon, Dec 28, 2009",DEN,101,SAC,106
"Tue, Dec 29, 2009",CLE,95,ATL,84
"Tue, Dec 29, 2009",IND,95,CHI,104
"Tue, Dec 29, 2009",NYK,104,DET,87
"Tue, Dec 29, 2009",NOH,100,HOU,108
"Tue, Dec 29, 2009",GSW,118,LAL,124
"Tue, Dec 29, 2009",MIN,99,SAS,117
"Tue, Dec 29, 2009",OKC,110,WAS,98
"Wed, Dec 30, 2009",ATL,101,CLE,106
"Wed, Dec 30, 2009",MEM,121,IND,110
"Wed, Dec 30, 2009",UTA,107,MIN,103
"Wed, Dec 30, 2009",NYK,95,BKN,104
"Wed, Dec 30, 2009",MIA,91,NOH,95
"Wed, Dec 30, 2009",MIL,92,ORL,117
"Wed, Dec 30, 2009",BOS,98,PHX,116
"Wed, Dec 30, 2009",LAC,99,POR,103
"Wed, Dec 30, 2009",PHI,116,SAC,106
"Wed, Dec 30, 2009",CHA,103,TOR,107
"Thu, Dec 31, 2009",CHI,98,DET,87
"Thu, Dec 31, 2009",DAL,94,HOU,97
"Thu, Dec 31, 2009",PHI,88,LAC,104
"Thu, Dec 31, 2009",UTA,86,OKC,87
"Thu, Dec 31, 2009",MIA,78,SAS,108
"Fri, Jan 1, 2010",NYK,112,ATL,108
"Fri, Jan 1, 2010",SAC,108,LAL,109
"Fri, Jan 1, 2010",ORL,106,MIN,94
"Sat, Jan 2, 2010",TOR,96,BOS,103
"Sat, Jan 2, 2010",ORL,93,CHI,101
"Sat, Jan 2, 2010",MIN,111,IND,122
"Sat, Jan 2, 2010",CHA,107,MIA,97
"Sat, Jan 2, 2010",OKC,97,MIL,103
"Sat, Jan 2, 2010",CLE,94,BKN,86
"Sat, Jan 2, 2010",HOU,95,NOH,99
"Sat, Jan 2, 2010",MEM,128,PHX,103
"Sat, Jan 2, 2010",GSW,89,POR,105
"Sat, Jan 2, 2010",DAL,99,SAC,91
"Sat, Jan 2, 2010",DEN,105,UTA,95
"Sat, Jan 2, 2010",SAS,97,WAS,86
"Sun, Jan 3, 2010",CHA,91,CLE,88
"Sun, Jan 3, 2010",PHI,108,DEN,105
"Sun, Jan 3, 2010",DAL,96,LAL,131
"Sun, Jan 3, 2010",IND,89,NYK,132
"Sun, Jan 3, 2010",SAS,86,TOR,91
"Mon, Jan 4, 2010",OKC,98,CHI,85
"Mon, Jan 4, 2010",POR,95,LAC,105
"Mon, Jan 4, 2010",ATL,75,MIA,92
"Mon, Jan 4, 2010",NOH,91,UTA,87
"Tue, Jan 5, 2010",CHI,108,CHA,113
"Tue, Jan 5, 2010",DET,93,DAL,98
"Tue, Jan 5, 2010",GSW,122,DEN,123
"Tue, Jan 5, 2010",ORL,90,IND,97
"Tue, Jan 5, 2010",HOU,79,LAL,88
"Tue, Jan 5, 2010",MIL,98,BKN,76
"Tue, Jan 5, 2010",WAS,104,PHI,97
"Tue, Jan 5, 2010",MEM,109,POR,105
"Tue, Jan 5, 2010",PHX,113,SAC,109
"Wed, Jan 6, 2010",BKN,89,ATL,119
"Wed, Jan 6, 2010",WAS,98,CLE,121
"Wed, Jan 6, 2010",LAL,91,LAC,102
"Wed, Jan 6, 2010",BOS,112,MIA,106
"Wed, Jan 6, 2010",GSW,107,MIN,101
"Wed, Jan 6, 2010",NOH,97,OKC,92
"Wed, Jan 6, 2010",TOR,108,ORL,103
"Wed, Jan 6, 2010",HOU,110,PHX,118
"Wed, Jan 6, 2010",DET,92,SAS,112
"Wed, Jan 6, 2010",MEM,94,UTA,117
"Thu, Jan 7, 2010",CHA,93,NYK,97
